DATE,6168,6469,7034,4709,7058
1977-07-27,221.0,645.0,11.0,82.0,4.0
1978-07-10,77.0,13.0,127.0,23.0,21.0
1978-07-11,89.0,49.0,198.0,27.0,5.0
1978-07-12,19.0,20.0,294.0,12.0,18.0
1978-07-13,114.0,20.0,567.0,28.0,3.0
1978-07-14,56.0,55.0,500.0,36.0,11.0
1978-07-15,36.0,22.0,930.0,12.0,198.0
1978-07-16,300.0,58.0,434.0,28.0,83.0
1978-07-17,27.0,365.0,884.0,31.0,243.0
1978-07-18,2.0,32.0,83.0,10.0,354.0
1978-07-25,804.0,313.0,695.0,60.0,76.0
1978-07-26,61.0,723.0,68.0,343.0,20.0
1978-07-27,130.0,459.0,1.0,196.0,5.0
1978-11-16,29.0,79.0,2036.0,12.0,299.0
1978-11-17,82.0,25.0,2052.0,11.0,484.0
1978-11-19,14.0,3.0,45.0,19.0,24.0
1978-11-20,488.0,87.0,626.0,53.0,350.0
1978-11-21,626.0,191.0,51.0,86.0,93.0
1978-11-22,108.0,399.0,29.0,28.0,408.0
1978-12-01,115.0,545.0,1.0,3.0,3.0
1978-12-03,63.0,59.0,724.0,12.0,6.0
1978-12-04,44.0,24.0,97.0,5.0,639.0
1978-12-05,33.0,70.0,108.0,12.0,2008.0
1978-12-06,134.0,41.0,683.0,85.0,13.0
1978-12-07,52.0,15.0,268.0,4.0,479.0
1979-03-06,23.0,31.0,289.0,8.0,890.0
1979-03-09,38.0,9.0,318.0,19.0,5074.0
1979-03-10,130.0,58.0,3767.0,49.0,1074.0
1979-03-11,23.0,2.0,550.0,5.0,21.0
1979-03-24,266.0,966.0,230.0,239.0,3.0
1979-03-26,92.0,127.0,7.0,67.0,197.0
1979-03-27,55.0,115.0,88.0,55.0,765.0
1979-03-28,44.0,52.0,1221.0,16.0,1515.0
1979-03-29,19.0,68.0,220.0,9.0,230.0
1979-07-06,4.0,128.0,185.0,9.0,73.0
1979-07-07,72.0,104.0,625.0,19.0,6583.0
1979-07-08,576.0,77.0,3914.0,57.0,326.0
1979-07-09,360.0,14.0,316.0,67.0,68.0
1979-07-10,97.0,42.0,253.0,28.0,401.0
1979-07-11,30.0,46.0,398.0,49.0,825.0
1979-07-12,134.0,60.0,1306.0,37.0,994.0
1979-07-13,48.0,65.0,389.0,23.0,16.0
1979-07-14,74.0,35.0,1257.0,37.0,36.0
